artist_uri,artist_popularity,artist_followers
spotify:artist:00UrcvUhUkB0H8ZPkrs5TZ,4,1486
spotify:artist:00UuF3fAevVz8L0f1WfiQ6,20,16072
spotify:artist:00Uv0804nrBM2RxUBTkyHj,23,16036
spotify:artist:00VGVt8d0PbyY7uoOXUtkD,25,10749
spotify:artist:00VJeNzGN01xG6Si00jcZq,38,1129
spotify:artist:00VYBvDTEt0xgYpHHnuexG,35,2872
spotify:artist:00Va60bFDS09mnN0cQNqyF,41,41
spotify:artist:00VdO1WMuxX1GUr5Gz00Vm,10,10
spotify:artist:00VfPrNl9c9hNb5kYBkcu4,17,1992
spotify:artist:00Vg2ckJuTCJRO0tXqVKqy,24,500
spotify:artist:00W9E7VkwAsnbpofU3fziZ,25,6237
spotify:artist:00WEbQMBzMtwbccrSjQwhJ,43,10207
spotify:artist:00XhexlJEXQstHimpZN910,76,6098584
spotify:artist:00XnlbVSD75fXqU9zWOeQt,32,2156
spotify:artist:00XrFl3G12emNX9Qqm6Gd4,38,15047
spotify:artist:00YJFmTkMloy3dYPLExyRr,41,9232
spotify:artist:00YRVhQFlwO1OhSyWyT9pU,29,2124
spotify:artist:00YTqRClk82aMchQQpYMd5,65,995119
spotify:artist:00YglmekVqqlHbv8N8erfv,57,269648
spotify:artist:00YlA7SPt3ro6y2J9vuS8z,3,125
spotify:artist:00Z3UDoAQwzvGu13HoAM7J,52,302761
spotify:artist:00Z5AOJft0KxS7v35Btgm1,36,1688
spotify:artist:00Z7CY1UMeGccawHXlZ6Zd,37,1080
spotify:artist:00ZLAUFA0jWOsSZKzIrM6v,36,32799
spotify:artist:00ZLLJ51l9Ir5gyaGSUYxL,43,76309
spotify:artist:00ZVvVrvRIntpqOaLRqWjL,6,458
spotify:artist:00akCKiA7RtISgpomfD3ZH,49,8077
spotify:artist:00bJkDOSYA3OSGQlmjGCel,20,1573
spotify:artist:00d3cwrk9aduzfVDCG0Hgp,42,1769
spotify:artist:00dmbdXxlZioXdiyjAr0Xu,23,912
spotify:artist:00dmmWx4516ai8h1z3b7GC,42,18670
spotify:artist:00dwwnz3V4kRfu3UFYpJLz,56,154756
spotify:artist:00eZQLSi5N5mpBuvojLa7P,29,432
spotify:artist:00ehjjBKPyX63R1NrlAZMW,35,52564
spotify:artist:00ekfPE5ZS3NwF8H8o8GBk,48,32951
spotify:artist:00eldNtAqcdLF9adKlyFZf,27,8472
spotify:artist:00epidt1rfpJJKIfi7dSQJ,23,11325
spotify:artist:00es8O5qsOBGlhNSvPJtS0,36,6908
spotify:artist:00f9rh6qgLy3a4eYqugUyg,27,13470
spotify:artist:00fhyHwDkhykp7qxLsbvch,42,481
spotify:artist:00g1aTs2cVNUeCO1QhelxG,38,497
spotify:artist:00g1hZIIn1xKwrbZd6nDUY,34,1583
spotify:artist:00gNkx3t5AsznOJaGsjgdR,19,2
spotify:artist:00gh6kmKYOu8xyorRxQm6a,39,34029
spotify:artist:00grrA09xoKzWDoyVWQpj3,23,1351
spotify:artist:00hKB8cu5lyBE35ilxyP7v,24,36299
spotify:artist:00hL0oJD4pWef0kPYIaSTy,50,1078446
spotify:artist:00hQm1Gj5PmmqpQPfKVP0U,41,1482
spotify:artist:00hdgbWnNqR00WnuChfLf2,32,608
spotify:artist:00hfOKuZEhvKKNXmVdb1We,46,48461
spotify:artist:00i4PzAbt6fpwgBqdtSP0q,39,4499
spotify:artist:00iCpG3WPZexTvBYmwRd1S,26,519
spotify:artist:00iELQdFBpzxOkYxXCOKIg,23,6147
spotify:artist:00jACgDWIBdPM4eH8nORwz,37,7624
